name,sku,category,base_unit,description
EDGE BANDER MACHINE WFS-210,00-50002881,Others,unit,
EPOGLASS Hi Build Epoxy Resin Clear - ICA,00-50002947,Others,kg,
EVI Pu Basecoat White FR 25ltr E/1466,00-50003006,Others,liter,
EVI PU THINNER 20Ltr ( E/610-SP),00-50003005,Others,liter,
EXHIBITION ARM LIGHT IP54 3000K OUTDOOR LIGHT,00-50004043,Others,piece,
F CLAMP 1200MM - HEAVY DUTY,00-50002055,Others,piece,
F CLAMP 900MM - HEAVY DUTY,00-50002054,Others,piece,
FABIC OUTBOUND - LOOP - 45-LINEN - FABRIC LIBRARY,00-50003429,Others,m,
FABRIC - SIT OUT - 18-ALABASTER (FABRIC LIBRARY),00-50002053,Others,m,
FABRIC - SIT OUT - 34 - BLUE STONE (FABRIC LIBRARY),00-50001091,Others,m,
FABRIC CODE: PL72 AL REYAMI,00-50003552,Others,m,
Fabrication and supply of revolving doors custom made center pivoted mechanism with floor and roof support.,00-50004038,Others,piece,
FENO EMU/MATT `A`BAS16.2L 9001 RAL,00-50003763,Others,piece,
FENO EMU/MATT `C`BAS16.2 6003 RAL,00-50003762,Others,piece,
FEVICOL HEAT-X,00-50003656,Others,gallon,
FEVICOL lK PUR 500-GRAM,00-50000876,Others,carton,
FIRE STRIP 15X4MM  LIGHT BROWN,00-50000900,Others,piece,
FIRE STRIP FOR 90MIN DOOR CORE,00-50003126,Others,set,
FISHER PLUG 6MM-RED,00-00000198,Others,piece,
FP460FR Fire Retardent Basecoat White - ICA,00-50003328,Others,kg,
FULL LOCK HOLE SPIRAL BIT (9P.160.A),00-50002612,Others,piece,
G 2100 UNIVERSAL MULTIFOAM,00-50004052,Others,piece,
GARBAGE BAG BLACK,00-50001887,Others,piece,
GAS STOVE 2 BURNER,00-50003722,Others,piece,
"GOLA HANDLE PROFILE L-SHAPE, BLACK COLOR",00-50000274,Others,m,
GOLA PROFILE U SHAPE-BLACK COLOR,00-50000275,Others,m,
Gypsum Board Plug M10 x 17S6,00-50000252,Others,piece,
GYPSUM POWDER 25KG - SADAF,00-50000311,Others,bag,
"HAGER CIRCUIT BREAKER 40AMP, 4 POLE, 300 Ma (ELCB/RCCB)",00-50003521,Others,piece,
HALF FACE MASK-3M REUSABLE,00-50001600,Others,piece,
HALF FACE MASK-3M REUSABLE(ACCESSORIES),00-50001601,Others,piece,
HANGER HOOK,00-50003962,Others,piece,
HANGER SET (2 WHEEL) FA-75 HCN02262,00-50004019,Others,piece,
HANGING LIGHT 3000K,00-50003649,Others,piece,
HANGING PENDANT LIGHT,00-50002243,Others,piece,
HARD FOAM 20KG 200X100X1CM,00-50000919,Others,piece,
HASP & STAPLE-BLACK (LATCH LOCK),00-50000299,Others,piece,
HAZARD STICKER,00-50004042,Others,piece,
HEATEX 3.8L/GAL - PIDILITE,00-50000857,Others,g,
"HETTICH ALU PROFILE  FOR 6MM  GLASS MATT BLACK-9315684, AS PER SAMPLE",00-50000834,Others,m,
"HETTICH-9311023 ANGLE 13684 BLACK 4 ANGLE+SCREW, AS PER SAMPLE",00-50000854,Others,set,
HINGES SCREW - ANTIQUE FINISH,00-50003793,Others,piece,
HP 938 YELLOW INK CART,00-50002791,Others,piece,
HPL LAMINATE 4X8X0.8MM- 4151SF,00-50000278,Others,piece,
HPL LAMINATE 4X8X0.8MM FY18214 LM YAKARTATECA,00-50000277,Others,sheet,
HSS DRILL BIT 3.5X100MM-UKEN,00-50003677,Others,piece,
IND94 Catalyst x EPOGLASS @ 50% - ICA,00-50002948,Others,kg,
INSTALLATION FR WOODEN DOOR INCLUDING FRAME ARCHITRAVE,00-50003017,Others,piece,
INSTALLATION NFR WOODEN DOOR INCLUDING FRAME ARCHITRAVE,00-50003016,Others,piece,
INSTALLATION OF DOUBLE DOOR,00-50003696,Others,piece,
Installation Of Kitchen Island Top 700 mm Width Pure White Quartz 20 mm Thick With Silicon & Grout,00-50003420,Others,m,
INSTALLATION OF KITCHEN TALL UNIT AND FRIEDGE UNIT,00-50003014,Others,sqm,
INSTALLATION OF KITHCEN FULL SET,00-50003985,Others,set,
Installation Of Vanity Counter Top Pure White Quartz 20 mm Thick With Silicon & Grout,00-50003416,Others,m,
INSTALLATION OF WARDROBE,00-50003015,Others,sqm,
INSTALLING KITCHEN CABINET - WALL UNIT,00-50003293,Others,m,
INTUMESCENT STRIP 2000 X 20 X 4,00-50000752,Others,piece,
INTUMESCENT STRIP 2MMX54MMX2000,00-50003658,Others,piece,
INTUMESCENT STRIP 2MMX64MMX2000,00-50003657,Others,piece,
Joinery Item,00-50001363,Others,m,
JOTUN FENOMASTIC EMU MATT 'A' BASE DRM RAL 9010,00-50003440,Others,piece,
JOTUN FENOMASTIC EMU MATT 'B' BASE DRM RAL 7004,00-50003441,Others,piece,
JOTUN FENOMASTIC EMU MATT 'B' BASE DRM RAL8023 ORANGE BROWN,00-50003795,Others,piece,
JOTUN FENOMASTIC EMU MATT 'C' BASE DRM RAL 7016,00-50003439,Others,piece,
JOTUN FENOMASTIC EMU MATT 'C' BASE DRM RAL6021 PALE GREEN,00-50003796,Others,piece,
JOTUN FENOMASTIC MY HOME RICH MATT 'B' DRUM,00-50004016,Others,liter,
Jotun Fenomastic Myhome Rich Matt base A,00-50000793,Others,gallon,
JOWAT POWDER GLUE -25KG  BAG (950.20),00-50000875,Others,bag,
KD FITTING FULL SET -18MM,00-50000918,Others,set,
KERAFIX 2000X2MMX18MM THERMAL INSULATION GLAZING TAPE,00-50003660,Others,m,
KERAFIX 2000X3MMX18MM THERMAL INSULATION GLAZING TAPE,00-50003659,Others,m,
LAMINATE HPL CODE-5136 SF 0.8MMX4X8,00-50003697,Others,sheet,
"L-Ankle Connector As Per Drawing, With Black Powder Coated",00-50003882,Others,piece,
LASER RANGE METER,00-50000816,Others,piece,
LDF 6'x12'x12mm Thk,00-50003207,Others,sheet,
LEATHER FABRIC,00-50000244,Others,m,
LED COB STRIPLIGHT-2700K 12V,00-50003787,Others,m,
LED LIGHT WORKS,00-50003398,Others,set,
LED STRIP LIGHT,00-50001147,Others,m,
"LINEAR LIGHT SUSPENDED 50X 70MM ,3000K,40W ,1.13M LENGTH BLACK COLOUR TRIDONIC POWER SUPPLY AND MODULE",00-50003760,Others,piece,
LOCTITE GLUE-48,00-50004051,Others,piece,
MAKITA LS1216 SLIDE SAW PARTS,00-50003650,Others,piece,
MARBLE - OROBICO,00-50002050,Others,piece,
MARINE PLYWOOD 4X8X18MM,00-50000845,Others,sheet,
"MASKING TAPE 2""X50YARD-ASMACO",00-00000196,Others,box,
Material Shifting,00-50003421,Others,m,
MDF 4'x8'x3mm Thk,00-50000337,Others,sheet,
MDF MR 4x8x18mm,00-50000027,Others,sheet,
METAL BASE ROUND SHAPE,00-50001618,Others,piece,
METAL FRAME,00-50003078,Others,piece,
METAL FRAME FOR TROLLY BED WITH WHEEL,00-50002879,Others,set,
METAL FRAME FRONT AND BACK - 2MM Z-SHAPE GLAZING STAINLESS STEEL FRAME IN BLACK POWDER COATING,00-50003867,Others,piece,
METAL HANGER BAR,00-50001469,Others,piece,
METAL LEG COVER BRUSH FINISH,00-50001619,Others,piece,
METAL PIPE,00-50003904,Others,m,
METAL TUBE,00-50003228,Others,piece,
MINI SCREW BRASS,00-50004033,Others,box,
MINI SLIDING TABLE SAW WJ-300,00-50002882,Others,unit,
MIRROR CAP FOR TABLE TOP,00-50004046,Others,piece,
MIXER ARK 938 PULL OUT #239381200,00-50003843,Others,piece,
MORTISE LOCK BODY 85X45MM BLACK,00-50000804,Others,piece,
"MOVINGUI WOOD K.D.(GOLDEN IROKO) 2""x6 & UP",00-50000261,Others,ft,
MR MDF 4X8X12MM - MADE  IN THAILAND,00-50000850,Others,sheet,
MR MDF 4X8X18MM - MADE IN THAILAND,00-50000868,Others,sheet,
MR MDF 4X8X6MM  - MADE  IN THAILAND,00-50000848,Others,sheet,
MR MDF 4X8X9MM - MADE IN THAILAND,00-50000861,Others,sheet,
MR MDF 6X12X12MM-MADE IN THAILAND,00-50002604,Others,sheet,
MR MDF 6X12X18MM - MADE  IN THAILAND,00-50000870,Others,sheet,
NC THINNER,00-50000357,Others,piece,
NEUTRAL SILICONE-0892538301,00-50002676,Others,piece,
NON-FIRE RATED HOLLOW CORE CHIPBOARD 33MMX3X7,00-50003041,Others,sheet,
NON-FIRE RATED SOLID CHIPBOARD 44MMX3X7,00-50000887,Others,sheet,
OAK VENEER - QUARTER CUT - AAA GRADE,00-50002166,Others,sqm,
OP461FR FIRE RETARDANT TOP COAT APS-10%,00-50003330,Others,kg,
OPEN BRACKET,00-50003600,Others,piece,
P.U High Gloss APS LP571,00-50003353,Others,liter,
"PAINT ROLLER RIFIL 4""-UKEN",00-00000079,Others,piece,
PAINTING FOR WOODEN DOOR ARCHITRAVE,00-50003880,Others,piece,
PAINTING FOR WOODEN DOOR FRAME,00-50003879,Others,piece,
PE02 Epoxy Paste Blue - F.O.C (ICA),00-50003986,Others,kg,
PIVOT HINGES,00-50000799,Others,set,
PLASTIC SLIDING GUIDE  SCC458501,00-50003377,Others,piece,
PLASTIC VENTILATION GRILL460 X 65MM - WHITE,00-50003631,Others,piece,
Plinth  adj.foot pl.black 100mm- 637.17.303,00-50000891,Others,piece,
Plinth  clip pl.black.w.bar-637.45.920 (Pcs),00-50000894,Others,piece,
PU CLEAR MATT 10%,00-50000712,Others,piece,
PU CLEAR TOPCOAT 10% GLOSS - FR,00-50000250,Others,kg,
PU MATT 10% RAL1931 - ICA,00-50003778,Others,kg,
PU PAINT 10% GLOSS - A0877E - 2845MK,00-50000782,Others,piece,
PU PAINT 10% GLOSS - KAS1323,00-50000784,Others,piece,
PU PAINT 10% GLOSS - KAS3044 MK,00-50000790,Others,piece,
PU PAINT 5% GLOSS - FR,00-50000783,Others,piece,
PU PAINT BLACK 10% GLOSS,00-50001010,Others,piece,
PU PAINT BLACK 100% GLOSS,00-50000760,Others,piece,
PU PAINT BLACK 30% GLOSS,00-50000758,Others,piece,
PU PAINT BLACK 50% GLOSS,00-50000759,Others,piece,
PU PAINT JOTUN 1625 MATT 10%,00-50003561,Others,liter,
PU PAINT RAL 9001 10% GLOSS,00-50003777,Others,liter,
PU PAINT RAL-7004 MATT - 10%,00-50003444,Others,liter,
PU PAINT SOFT GREY JOTUN 0394 - 10% GLOSSY,00-50003471,Others,liter,
PU PAINT WHITE LINEN JOTUN 10182 - 10% GLOSSY,00-50003472,Others,liter,
PU PRIMER WHITE,00-50000761,Others,piece,
PU PRIMER WHITE - FR E/1464IT-25LTR,00-50004045,Others,piece,
PU SANDING SEALER,00-50000709,Others,piece,
PU SLOW DRY THINNER D1010,00-50003331,Others,liter,
PU THINNER,00-50000251,Others,piece,
PU THINNER - SLOW DRY,00-50000764,Others,piece,
PU TOPCOAT 10% MATT - ICA,00-50002908,Others,piece,
PU TOPCOAT 50% GLOSS,00-50003997,Others,piece,
PU TOPCOAT CLEAR 10%,00-50000789,Others,piece,
PU TOPCOAT CLEAR 20%,00-50001108,Others,piece,
PU TOPCOAT EXTERIOR 10% GLOSS - ICA,00-50001403,Others,piece,
PULL HANDLE 50CM BLACK (512MMX12MM),00-50000803,Others,piece,
Push to Open lock,00-50000322,Others,piece,
PVC FOREX SHEET 20MMX1220X2440,00-50003592,Others,sheet,
PVC LIPPIG 1MMX22MM MF-365 FANCY WALNUT,00-50003694,Others,m,
Pvc Lipping  1mm x 22mm  Matching SF1260K,00-50000948,Others,roll,
PVC LIPPING - SLATE GREY - 30 X 0.8MM,00-50003978,Others,m,
PVC LIPPING-  UNI3051- SLATE GREY - 22x1MM,00-50000874,Others,m,
PVC LIPPING 0.5MMX22 WHITE,00-50003662,Others,m,
PVC LIPPING 0.8MMX22 - SAND ORLEANS OAK - EG-E-H1377S36,00-50003981,Others,m,
PVC LIPPING 1MMX22 WHITE,00-50003692,Others,m,
PVC LIPPING 1MMX22MM SF1260K AL SAMA,00-50000924,Others,m,
PVC LIPPING 22MM X .8MM SDE-30309 MT-SKYDECOR,00-50002958,Others,m,
PVC LIPPING 22MMX.8MM SDL-30305 GRN-SKYDECOR,00-50003675,Others,m,
PVC LIPPING P1019-T02 22MMX1MM 100MTR,00-50000281,Others,m,
PVC LIPPING W2036-T09 22X1MM-100MTR,00-50000280,Others,m,
Rail end support 803.25.250 - Hafele,00-50001920,Others,piece,
RECESSED NEON FLEXIBLE PROFILE 16MMX12MM,00-50003620,Others,m,
RECON EWPT 01-WL17CC VENEER Size:2.50mX0.64m=1.60m2/sheet,00-50000897,Others,sqm,
RECON VENEER EWPT 01-G001QC - SIZE:2.50MX0.64M=1.60M2/SHEET,00-50003900,Others,sqm,
ROCKWOOL 1200X600,00-50001089,Others,piece,
Safety Ear Plug -Taiwan,00-00000299,Others,piece,
SAFETY GOGGLE,00-50000774,Others,piece,
SAFETY HELMET - WHITE,00-50000770,Others,piece,
SAFETY HELMET - YELLOW,00-50000771,Others,piece,
SAFETY JACKET - NEON YELLOW,00-50000772,Others,piece,
"SAMSUNG 85"" LED TV",00-50002541,Others,piece,
SAMSUNG GALAXY TAB 5G S10 + 8GB 128GB,00-50003948,Others,piece,
SAMSUNG GALAXY TAB S9FE+ 8GB 128GB,00-50003794,Others,piece,
Samsung UA70U8000FUXZN 4K Smt UHD TV 70,00-50003626,Others,piece,
SANDING BELT 1380X2620 GRIT-120,00-50002012,Others,roll,
SANDING BELT 1380X2620 GRIT-220,00-50002013,Others,roll,
SANDING BELT 1380X2620 GRIT-400,00-50002014,Others,roll,
SANDING BELT 1380X2620 GRIT-80,00-50002011,Others,roll,
Sanding Paper # 600,00-50001029,Others,piece,
Sanding Paper 120G,00-00000240,Others,roll,
SANDING PAPER NO 320,00-50000695,Others,piece,
SANDING PAPER P220 X 4.5'' - BELMONT,00-50000268,Others,piece,
SANDING PAPER P320 X 4.5'' - BELMONT,00-50000269,Others,piece,
SDE-10121 MT 0.8MMX22MM LIPPING,00-50003829,Others,m,
SDE-10131 MT 0.8MMX22MM LIPPING,00-50003827,Others,m,
SDE-30308 MT 0.8MMX22MM LIPPING,00-50003828,Others,m,
SDF-30371 0.8MMX22MM LIPPING,00-50004050,Others,m,
SELF CLOSING HINGES 4X3X3,00-50000747,Others,piece,
Self Tapping Screw CSK 6 x 1 - TUFFIX,00-50000258,Others,piece,
Self Tapping Screw CSK 6 x 3/4 - TUFFIX,00-50000254,Others,piece,
Self Tapping Screw CSK 6 x 5/8 - TUFFIX,00-50000256,Others,piece,
Self Tapping Screw CSK 8 x 1 - TUFFIX,00-50000257,Others,piece,
Self Tapping Screw CSK 8 x 3/4 - TUFFIX,00-50000253,Others,piece,
Self Tapping Screw CSK 8 x 5/8 - TUFFIX,00-50000255,Others,piece,
"SHELF BRACKET 9""x12"" WHITE",00-50001642,Others,piece,
SHELF SUPPORT  PIN - WHITE,00-50000880,Others,piece,
SHELF SUPPORT PIN - CLEAR,00-50003044,Others,piece,
SHELF SUPPORT PIN - METAL,00-50003230,Others,piece,
SINGLE ACTION HINGES 4 X 3 X 3,00-50000756,Others,piece,
SINGLE FR SERVICE DOOR,00-50003835,Others,piece,
Sink Cut Out,00-50003422,Others,piece,
Sliding Track Channel & Accessories - 2 meter,00-50001197,Others,set,
SOCKET 16A MALE,00-50001222,Others,piece,
SOFT CLOSER KIT S/A 180 (CONCEALED)HCN30638,00-50003371,Others,piece,
SOFT CLOSER S/A 130 (TRACK MOUNTED) HCN30614,00-50003375,Others,piece,
SOFT FOAM 20KG 200X100X3CM,00-50003381,Others,piece,
SOFT FOAM 40KG 200X100X3CM,00-50001090,Others,piece,
SOFT FOAM 40KG 200X100X5CM,00-50000741,Others,piece,
"SOLID  MAHAGONY WOOD 2"" X8"" KD",00-50000920,Others,ft,
SOLID CONCRETE BLOCK,00-50003883,Others,piece,
"SOLID FRAKE WOOD 3"" KD 6'' & WIDER",00-50003384,Others,ft,
"SOLID WOOD - MERANTI - 2""x10""x8'",00-50000780,Others,ft,
"SOLID WOOD MOVINGUI  (GOLDEN IROKO), 3""X 6"" AND WIDER",00-50000835,Others,ft,
SPIRAL BIT FOR CNC PART-NR 9BB.060,00-50002336,Others,piece,
STEEL FRAME,00-50003648,Others,set,
STRAIGHT ROUTER BIT 3 X 12 X 50 S 6MM,00-50000717,Others,piece,
STRAIGHT ROUTER BIT 3 X 20 X 06,00-50000718,Others,piece,
STRETCH FILM 2.3KGx6ROLLS,00-50000392,Others,box,
Supply & Installation,00-50000829,Others,piece,
SUPPLY & INSTALLATION OF 8MM GLASS,00-50003780,Others,piece,
SUPPLY AND BONDING OF 10MM CRYSTAL CLEAR GLASS BOX,00-50002300,Others,piece,
SUPPLY AND INSTALLATION OF 10MM GLASS,00-50003779,Others,piece,
SUPPLY AND INSTALLATION OF CORIAN SHEET - AS PER APPROVED COLOR,00-50003870,Others,piece,
Supply and installation of pet panels with CNC cutting.,00-50004024,Others,sqm,
SYNTHETIC LEATHER,00-50001007,Others,m,
TCT COVE BIT 937.950.11,00-50003680,Others,piece,
TILE THRESHOLD,00-50003849,Others,piece,
"TOWER BOLT 8""",00-50000295,Others,piece,
TUF AIR COMPRESSOR 100LTR 2HP - CHINA,00-50003473,Others,piece,
TV WALLMOUNT BRACKET,00-50002548,Others,piece,
U PIN- LABEL 413J PKT,00-50000397,Others,piece,
VELCRO SANDING DISC 5'' X P120,00-50000270,Others,piece,
VELCRO SANDING DISC 5'' X P220,00-50000271,Others,piece,
VELCRO SANDING DISC 9'' X P120,00-50003515,Others,piece,
VELCRO SANDING DISC 9'' X P80,00-50003511,Others,box,
"Wall display light 40CM , gold color,adjustable (3000K,4000K,6500K)",00-50003789,Others,piece,
WALL MOUNTED LIGHT 2858/W1,00-50002244,Others,piece,
WASTE COLLECTION AND DISPOSAL,00-50003700,Others,piece,
WC SEAT COVER,00-50004035,Others,piece,
White PU Basecoat Fire Rated E/1466IT-25kg,00-50004047,Others,liter,
WHITE WOOD VEIN MARBLE - AZULA MARBLE,00-50003801,Others,piece,
WINDOWS SERVER 2022 STANDARD EVALUATION,00-50000698,Others,piece,
WOODEN  DOWEL 8X40-12MM,00-50000896,Others,piece,
WOODEN BISCUIT,00-50000755,Others,piece,
WOODEN STICK,00-50001886,Others,piece,
